x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-251.969,-211.654,3.66522e-10,3.05257e-14,7.45576e-15,2.43791e-13,-2.31638e-10,4.54184e-13,2.01575e-10,2.89542e-13,2.51234e-10
-251.969,-207.622,3.63417e-10,2.9907e-14,7.99459e-15,2.58745e-13,-2.26857e-10,4.85614e-13,2.16641e-10,3.04606e-13,2.46292e-10
-251.969,-203.591,3.60113e-10,2.92585e-14,8.50596e-15,2.72797e-13,-2.21814e-10,5.1519e-13,2.31293e-10,3.18642e-13,2.41076e-10
-251.969,-199.559,3.56619e-10,2.85838e-14,8.98877e-15,2.85915e-13,-2.16531e-10,5.42849e-13,2.45512e-10,3.31625e-13,2.35612e-10
-251.969,-195.528,3.52946e-10,2.78862e-14,9.44197e-15,2.98077e-13,-2.11033e-10,5.68542e-13,2.59279e-10,3.43537e-13,2.29923e-10
-251.969,-191.496,3.49106e-10,2.71691e-14,9.86487e-15,3.09266e-13,-2.05344e-10,5.92235e-13,2.72577e-10,3.54368e-13,2.24034e-10
-251.969,-187.465,3.45108e-10,2.64359e-14,1.02569e-14,3.19471e-13,-1.99488e-10,6.13907e-13,2.85392e-10,3.64114e-13,2.17971e-10
-251.969,-183.433,3.40964e-10,2.56899e-14,1.06177e-14,3.28691e-13,-1.93491e-10,6.33551e-13,2.97712e-10,3.7278e-13,2.11757e-10
-251.969,-179.402,3.36685e-10,2.49343e-14,1.0947e-14,3.36926e-13,-1.87375e-10,6.51172e-13,3.09527e-10,3.80376e-13,2.05419e-10
-251.969,-175.37,3.32282e-10,2.41722e-14,1.12449e-14,3.44185e-13,-1.81164e-10,6.66787e-13,3.20829e-10,3.86916e-13,1.98978e-10
-251.969,-171.339,3.27767e-10,2.34064e-14,1.15115e-14,3.50482e-13,-1.74882e-10,6.80424e-13,3.31612e-10,3.92422e-13,1.9246e-10
-251.969,-167.307,3.23151e-10,2.26398e-14,1.1747e-14,3.55836e-13,-1.68549e-10,6.92121e-13,3.41872e-10,3.9692e-13,1.85886e-10
-251.969,-163.276,3.18443e-10,2.18749e-14,1.1952e-14,3.60268e-13,-1.62188e-10,7.01925e-13,3.51607e-10,4.00441e-13,1.79279e-10
-251.969,-159.244,3.13657e-10,2.11142e-14,1.21271e-14,3.63807e-13,-1.55818e-10,7.09891e-13,3.60817e-10,4.0302e-13,1.72659e-10
-251.969,-155.213,3.088e-10,2.03598e-14,1.22728e-14,3.66481e-13,-1.49459e-10,7.16083e-13,3.69503e-10,4.04693e-13,1.66045e-10
-251.969,-151.181,3.03885e-10,1.96139e-14,1.23902e-14,3.68326e-13,-1.43128e-10,7.20569e-13,3.77669e-10,4.05501e-13,1.59457e-10
-251.969,-147.15,2.98921e-10,1.88783e-14,1.24801e-14,3.69376e-13,-1.36843e-10,7.23422e-13,3.85319e-10,4.05487e-13,1.52912e-10
-251.969,-143.118,2.93918e-10,1.81546e-14,1.25435e-14,3.69671e-13,-1.3062e-10,7.24721e-13,3.92458e-10,4.04696e-13,1.46426e-10
