r,theta,gamma11,gamma12,gamma13,gamma22,gamma23,gamma33,K11,K12,K13,K22,K23,K33,Gamma_0_0_0,Gamma_0_0_1,Gamma_0_0_2,Gamma_0_1_0,Gamma_0_1_1,Gamma_0_1_2,Gamma_0_2_0,Gamma_0_2_1,Gamma_0_2_2,Gamma_1_0_0,Gamma_1_0_1,Gamma_1_0_2,Gamma_1_1_0,Gamma_1_1_1,Gamma_1_1_2,Gamma_1_2_0,Gamma_1_2_1,Gamma_1_2_2,Gamma_2_0_0,Gamma_2_0_1,Gamma_2_0_2,Gamma_2_1_0,Gamma_2_1_1,Gamma_2_1_2,Gamma_2_2_0,Gamma_2_2_1,Gamma_2_2_2
2,2.26195,5.34458,0,0,4.32911,0,3.11945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.29336,5.3756,0,0,4.35424,0,2.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.32478,5.40688,0,0,4.37957,0,2.76492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.35619,5.43827,0,0,4.405,0,2.58888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.38761,5.46967,0,0,4.43043,0,2.41458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.41903,5.50094,0,0,4.45576,0,2.24265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.45044,5.53196,0,0,4.48089,0,2.07372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.48186,5.56262,0,0,4.50572,0,1.90838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.51327,5.59278,0,0,4.53015,0,1.74718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.54469,5.62233,0,0,4.55409,0,1.59067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.57611,5.65116,0,0,4.57744,0,1.43935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.60752,5.67915,0,0,4.60011,0,1.29367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.63894,5.70619,0,0,4.62201,0,1.1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.67035,5.73216,0,0,4.64305,0,1.02102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.70177,5.75698,0,0,4.66316,0,0.89483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.73319,5.78055,0,0,4.68224,0,0.775879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.7646,5.80276,0,0,4.70023,0,0.66449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
