i,j,r,theta,rho
3,6,2.24,0.188496,0
3,7,2.24,0.219911,0
3,8,2.24,0.251327,0
3,9,2.24,0.282743,0
3,10,2.24,0.314159,0
3,11,2.24,0.345575,0
3,12,2.24,0.376991,0
3,13,2.24,0.408407,0
3,14,2.24,0.439823,0
3,15,2.24,0.471239,0
3,16,2.24,0.502655,0
3,17,2.24,0.534071,0
3,18,2.24,0.565487,0
3,19,2.24,0.596903,0
3,20,2.24,0.628319,0
3,21,2.24,0.659734,0
3,22,2.24,0.69115,0
3,23,2.24,0.722566,0
3,24,2.24,0.753982,0
3,25,2.24,0.785398,0
3,26,2.24,0.816814,0
3,27,2.24,0.84823,0
3,28,2.24,0.879646,0
3,29,2.24,0.911062,0
3,30,2.24,0.942478,0
3,31,2.24,0.973894,0
3,32,2.24,1.00531,0
3,33,2.24,1.03673,0
3,34,2.24,1.06814,0
3,35,2.24,1.09956,0
3,36,2.24,1.13097,0
3,37,2.24,1.16239,0
3,38,2.24,1.19381,0
3,39,2.24,1.22522,0
3,40,2.24,1.25664,0
3,41,2.24,1.28805,0
3,42,2.24,1.31947,0
3,43,2.24,1.35088,0
3,44,2.24,1.3823,0
3,45,2.24,1.41372,0
3,46,2.24,1.44513,0
3,47,2.24,1.47655,0
3,48,2.24,1.50796,0
3,49,2.24,1.53938,0
3,50,2.24,1.5708,0
3,51,2.24,1.60221,0
3,52,2.24,1.63363,0
3,53,2.24,1.66504,0
3,54,2.24,1.69646,0
3,55,2.24,1.72788,0
3,56,2.24,1.75929,0
3,57,2.24,1.79071,0
3,58,2.24,1.82212,0
3,59,2.24,1.85354,0
3,60,2.24,1.88496,0
3,61,2.24,1.91637,0
3,62,2.24,1.94779,0
3,63,2.24,1.9792,0
3,64,2.24,2.01062,0
3,65,2.24,2.04204,0
3,66,2.24,2.07345,0
3,67,2.24,2.10487,0
3,68,2.24,2.13628,0
3,69,2.24,2.1677,0
3,70,2.24,2.19911,0
3,71,2.24,2.23053,0
3,72,2.24,2.26195,0
3,73,2.24,2.29336,0
3,74,2.24,2.32478,0
3,75,2.24,2.35619,0
3,76,2.24,2.38761,0
3,77,2.24,2.41903,0
3,78,2.24,2.45044,0
3,79,2.24,2.48186,0
3,80,2.24,2.51327,0
3,81,2.24,2.54469,0
3,82,2.24,2.57611,0
3,83,2.24,2.60752,0
3,84,2.24,2.63894,0
3,85,2.24,2.67035,0
3,86,2.24,2.70177,0
3,87,2.24,2.73319,0
3,88,2.24,2.7646,0
3,89,2.24,2.79602,0
3,90,2.24,2.82743,0
3,91,2.24,2.85885,0
3,92,2.24,2.89027,0
3,93,2.24,2.92168,0
3,94,2.24,2.9531,0
3,95,2.24,2.98451,0
3,96,2.24,3.01593,0
3,97,2.24,3.04734,0
3,98,2.24,3.07876,0
3,99,2.24,3.11018,0
3,100,2.24,3.14159,0
4,0,2.32,0,0
4,1,2.32,0.0314159,0
4,2,2.32,0.0628319,0
4,3,2.32,0.0942478,0
4,4,2.32,0.125664,0
4,5,2.32,0.15708,0
4,6,2.32,0.188496,0
4,7,2.32,0.219911,0
4,8,2.32,0.251327,0
4,9,2.32,0.282743,0
4,10,2.32,0.314159,0
4,11,2.32,0.345575,0
4,12,2.32,0.376991,0
4,13,2.32,0.408407,0
4,14,2.32,0.439823,0
4,15,2.32,0.471239,0
4,16,2.32,0.502655,0
4,17,2.32,0.534071,0
4,18,2.32,0.565487,0
4,19,2.32,0.596903,0
4,20,2.32,0.628319,0
4,21,2.32,0.659734,0
4,22,2.32,0.69115,0
4,23,2.32,0.722566,0
4,24,2.32,0.753982,0
4,25,2.32,0.785398,0
