x,z,Gamma000,Gamma001,Gamma002
-247.937,-6.04724,0.028093,-0.00755735,0.00213708
-247.937,-2.01575,0.0281477,-0.00756473,0.000796883
-247.937,2.01575,0.0281319,-0.00756654,-0.00054659
-247.937,6.04724,0.0280455,-0.00756279,-0.00188819
-247.937,10.0787,0.0278891,-0.00755348,-0.00322278
-247.937,14.1102,0.0276639,-0.00753862,-0.00454529
-247.937,18.1417,0.0273712,-0.00751827,-0.00585076
-247.937,22.1732,0.0270131,-0.00749245,-0.0071344
-247.937,26.2047,0.0265919,-0.00746124,-0.0083916
-247.937,30.2362,0.0261102,-0.00742472,-0.00961799
-247.937,34.2677,0.0255711,-0.00738297,-0.0108095
-247.937,38.2992,0.0249779,-0.00733609,-0.0119623
-247.937,42.3307,0.0243343,-0.00728421,-0.0130729
-247.937,46.3622,0.023644,-0.00722746,-0.0141382
-247.937,50.3937,0.0229111,-0.00716598,-0.0151555
-247.937,54.4252,0.0221396,-0.00709993,-0.0161223
-247.937,58.4567,0.0213338,-0.00702947,-0.0170367
-247.937,62.4882,0.020498,-0.0069548,-0.0178971
-247.937,66.5197,0.0196365,-0.00687609,-0.0187021
-247.937,70.5512,0.0187534,-0.00679356,-0.0194509
-247.937,74.5827,0.0178529,-0.00670741,-0.0201429
-247.937,78.6142,0.0169392,-0.00661786,-0.020778
-247.937,82.6457,0.0160162,-0.00652513,-0.0213564
-247.937,86.6772,0.0150876,-0.00642945,-0.0218783
-247.937,90.7087,0.0141572,-0.00633107,-0.0223447
-247.937,94.7402,0.0132283,-0.00623021,-0.0227563
-247.937,98.7717,0.0123042,-0.00612712,-0.0231145
-247.937,102.803,0.011388,-0.00602203,-0.0234207
-247.937,106.835,0.0104822,-0.00591519,-0.0236763
-247.937,110.866,0.00958967,-0.00580683,-0.0238833
-247.937,114.898,0.00871256,-0.0056972,-0.0240434
-247.937,118.929,0.007853,-0.00558651,-0.0241587
-247.937,122.961,0.00701286,-0.005475,-0.0242313
-247.937,126.992,0.00619378,-0.00536288,-0.0242632
-247.937,131.024,0.00539717,-0.00525037,-0.0242566
-247.937,135.055,0.00462426,-0.00513767,-0.0242139
-247.937,139.087,0.00387604,-0.00502499,-0.0241371
-247.937,143.118,0.00315334,-0.0049125,-0.0240286
-247.937,147.15,0.0024568,-0.00480039,-0.0238904
-247.937,151.181,0.00178689,-0.00468882,-0.0237248
-247.937,155.213,0.00114394,-0.00457796,-0.0235339
-247.937,159.244,0.000528121,-0.00446795,-0.0233197
-247.937,163.276,-6.05327e-05,-0.00435893,-0.0230842
-247.937,167.307,-0.000622094,-0.00425104,-0.0228295
-247.937,171.339,-0.00115675,-0.00414438,-0.0225572
-247.937,175.37,-0.00166478,-0.00403906,-0.0222693
-247.937,179.402,-0.00214656,-0.00393519,-0.0219675
-247.937,183.433,-0.00260254,-0.00383285,-0.0216533
-247.937,187.465,-0.00303322,-0.00373212,-0.0213283
-247.937,191.496,-0.00343918,-0.00363308,-0.0209939
-247.937,195.528,-0.00382104,-0.00353577,-0.0206516
-247.937,199.559,-0.00417945,-0.00344025,-0.0203026
-247.937,203.591,-0.00451511,-0.00334657,-0.0199482
-247.937,207.622,-0.00482874,-0.00325477,-0.0195894
-247.937,211.654,-0.00512108,-0.00316487,-0.0192274
-247.937,215.685,-0.00539287,-0.0030769,-0.018863
-247.937,219.717,-0.00564489,-0.00299088,-0.0184972
-247.937,223.748,-0.00587792,-0.0029068,-0.0181308
-247.937,227.78,-0.00609217,-0.00282476,-0.0177679
-247.937,231.811,-0.00629274,-0.00274381,-0.0173821
-247.937,235.843,-0.00648111,-0.00266948,-0.017021
-247.937,239.874,-0.00647164,-0.00259131,-0.0169695
-247.937,243.906,-0.00706342,-0.00250812,-0.0159105
-247.937,247.937,-0.00751518,-0.00249005,-0.0174818
-247.937,251.969,-0.00799149,-0.00223387,-0.00847066
-243.906,-251.969,-0.00803683,-0.00220274,0.00703379
-243.906,-247.937,-0.00834289,-0.00246636,0.016563
-243.906,-243.906,-0.0071307,-0.00251253,0.0157942
-243.906,-239.874,-0.00725438,-0.00260432,0.0170231
-243.906,-235.843,-0.00701146,-0.00266294,0.0170411
-243.906,-231.811,-0.00679668,-0.00274834,0.0175484
-243.906,-227.78,-0.00658346,-0.00283029,0.0178912
-243.906,-223.748,-0.00634508,-0.00291528,0.0182785
-243.906,-219.717,-0.00608846,-0.00300237,0.0186617
-243.906,-215.685,-0.00581199,-0.00309167,0.0190454
-243.906,-211.654,-0.00551493,-0.00318317,0.0194286
-243.906,-207.622,-0.00519657,-0.00327687,0.0198105
-243.906,-203.591,-0.00485616,-0.00337277,0.0201899
-243.906,-199.559,-0.00449301,-0.00347085,0.0205659
-243.906,-195.528,-0.00410645,-0.00357108,0.0209374
-243.906,-191.496,-0.00369585,-0.00367344,0.021303
-243.906,-187.465,-0.00326059,-0.00377789,0.0216615
-243.906,-183.433,-0.00280015,-0.00388438,0.0220115
-243.906,-179.402,-0.00231405,-0.00399285,0.0223515
-243.906,-175.37,-0.00180188,-0.00410325,0.0226799
-243.906,-171.339,-0.00126331,-0.00421548,0.0229949
-243.906,-167.307,-0.000698109,-0.00432948,0.0232949
-243.906,-163.276,-0.000106147,-0.00444514,0.0235779
-243.906,-159.244,0.000512589,-0.00456234,0.023842
-243.906,-155.213,0.00115798,-0.00468098,0.0240851
-243.906,-151.181,0.00182977,-0.00480091,0.0243052
-243.906,-147.15,0.00252755,-0.00492198,0.0244999
-243.906,-143.118,0.00325074,-0.00504405,0.0246671
-243.906,-139.087,0.00399857,-0.00516693,0.0248043
-243.906,-135.055,0.00477011,-0.00529044,0.0249093
-243.906,-131.024,0.00556418,-0.00541438,0.0249796
-243.906,-126.992,0.00637942,-0.00553855,0.0250128
-243.906,-122.961,0.00721424,-0.00566271,0.0250064
-243.906,-118.929,0.00806681,-0.00578664,0.0249581
-243.906,-114.898,0.00893506,-0.00591009,0.0248654
-243.906,-110.866,0.00981667,-0.0060328,0.0247261
-243.906,-106.835,0.0107091,-0.00615451,0.0245378
-243.906,-102.803,0.0116095,-0.00627495,0.0242985
-243.906,-98.7717,0.0125149,-0.00639382,0.0240061
-243.906,-94.7402,0.0134219,-0.00651085,0.0236589
-243.906,-90.7087,0.0143271,-0.00662574,0.0232551
-243.906,-86.6772,0.0152267,-0.00673819,0.0227933
-243.906,-82.6457,0.0161168,-0.00684791,0.0222723
-243.906,-78.6142,0.0169933,-0.00695461,0.0216914
-243.906,-74.5827,0.017852,-0.00705797,0.0210497
-243.906,-70.5512,0.0186885,-0.00715772,0.0203471
-243.906,-66.5197,0.0194983,-0.00725357,0.0195837
-243.906,-62.4882,0.0202771,-0.00734523,0.0187598
-243.906,-58.4567,0.0210203,-0.00743244,0.0178765
-243.906,-54.4252,0.0217235,-0.00751494,0.0169349
-243.906,-50.3937,0.0223823,-0.00759248,0.0159366
-243.906,-46.3622,0.0229924,-0.00766483,0.014884
-243.906,-42.3307,0.02355,-0.00773177,0.0137793
-243.906,-38.2992,0.0240511,-0.00779309,0.0126257
-243.906,-34.2677,0.0244922,-0.00784863,0.0114264
-243.906,-30.2362,0.0248701,-0.0078982,0.0101851
-243.906,-26.2047,0.0251821,-0.00794167,0.00890611
-243.906,-22.1732,0.0254256,-0.00797891,0.0075937
-243.906,-18.1417,0.0255987,-0.00800982,0.00625265
-243.906,-14.1102,0.0256998,-0.00803431,0.00488795
-243.906,-10.0787,0.0257281,-0.00805232,0.00350483
-243.906,-6.04724,0.0256829,-0.00806381,0.00210865
-243.906,-2.01575,0.0255642,-0.00806877,0.000704914
-243.906,2.01575,0.0253727,-0.00806718,-0.000700812
-243.906,6.04724,0.0251093,-0.00805907,-0.00210296
-243.906,10.0787,0.0247757,-0.00804448,-0.00349599
-243.906,14.1102,0.0243738,-0.00802347,-0.00487447
-243.906,18.1417,0.0239062,-0.00799612,-0.0062331
-243.906,22.1732,0.0233758,-0.00796252,-0.0075668
-243.906,26.2047,0.022786,-0.0079228,-0.0088707
-243.906,30.2362,0.0221402,-0.00787708,-0.0101402
-243.906,34.2677,0.0214427,-0.00782551,-0.0113711
-243.906,38.2992,0.0206974,-0.00776826,-0.0125594
-243.906,42.3307,0.0199089,-0.0077055,-0.0137016
-243.906,46.3622,0.0190817,-0.00763742,-0.0147946
-243.906,50.3937,0.0182205,-0.00756423,-0.0158355
-243.906,54.4252,0.0173301,-0.00748615,-0.0168221
-243.906,58.4567,0.016415,-0.0074034,-0.0177524
-243.906,62.4882,0.01548,-0.00731623,-0.0186249
-243.906,66.5197,0.0145297,-0.00722487,-0.0194384
-243.906,70.5512,0.0135686,-0.00712958,-0.0201923
-243.906,74.5827,0.012601,-0.00703063,-0.0208862
-243.906,78.6142,0.0116311,-0.00692827,-0.0215202
-243.906,82.6457,0.0106627,-0.00682278,-0.0220945
-243.906,86.6772,0.00969965,-0.00671443,-0.0226098
-243.906,90.7087,0.00874535,-0.00660349,-0.0230671
-243.906,94.7402,0.00780303,-0.00649023,-0.0234675
-243.906,98.7717,0.00687562,-0.00637493,-0.0238125
-243.906,102.803,0.0059658,-0.00625786,-0.0241037
-243.906,106.835,0.00507597,-0.00613927,-0.024343
-243.906,110.866,0.00420827,-0.00601943,-0.0245322
-243.906,114.898,0.00336457,-0.0058986,-0.0246735
-243.906,118.929,0.00254649,-0.00577702,-0.0247691
-243.906,122.961,0.00175539,-0.00565494,-0.0248211
-243.906,126.992,0.00099239,-0.00553257,-0.0248319
-243.906,131.024,0.000258408,-0.00541015,-0.0248039
-243.906,135.055,-0.000445868,-0.00528789,-0.0247393
-243.906,139.087,-0.00111995,-0.00516599,-0.0246406
-243.906,143.118,-0.00176351,-0.00504464,-0.02451
-243.906,147.15,-0.00237643,-0.00492401,-0.0243499
-243.906,151.181,-0.00295872,-0.00480428,-0.0241625
-243.906,155.213,-0.00351053,-0.0046856,-0.0239501
-243.906,159.244,-0.00403214,-0.00456812,-0.0237146
-243.906,163.276,-0.00452395,-0.00445198,-0.0234583
-243.906,167.307,-0.00498645,-0.00433728,-0.0231831
-243.906,171.339,-0.00542023,-0.00422416,-0.0228909
-243.906,175.37,-0.00582595,-0.00411269,-0.0225835
-243.906,179.402,-0.00620431,-0.00400298,-0.0222627
-243.906,183.433,-0.00655611,-0.00389511,-0.0219302
-243.906,187.465,-0.00688215,-0.00378914,-0.0215874
-243.906,191.496,-0.00718329,-0.00368513,-0.0212358
-243.906,195.528,-0.00746042,-0.00358314,-0.0208769
-243.906,199.559,-0.00771443,-0.0034832,-0.020512
-243.906,203.591,-0.00794623,-0.00338536,-0.0201422
-243.906,207.622,-0.00815675,-0.00328963,-0.0197687
-243.906,211.654,-0.0083469,-0.00319605,-0.0193925
-243.906,215.685,-0.0085176,-0.00310461,-0.0190146
-243.906,219.717,-0.00866976,-0.00301533,-0.0186359
-243.906,223.748,-0.0088043,-0.00292821,-0.018257
-243.906,227.78,-0.00892154,-0.00284332,-0.0178823
-243.906,231.811,-0.00902672,-0.00275969,-0.0174852
-243.906,235.843,-0.00911196,-0.00268274,-0.0171127
-243.906,239.874,-0.00914918,-0.00260474,-0.0170688
-243.906,243.906,-0.0092786,-0.00250641,-0.016102
-243.906,247.937,-0.00910681,-0.00247163,-0.0164752
-243.906,251.969,-0.00945761,-0.0022087,-0.00672183
-239.874,-251.969,-0.00776329,-0.00225252,0.00602143
-239.874,-247.937,-0.00670055,-0.00251665,0.0163584
-239.874,-243.906,-0.00615602,-0.0026071,0.0167703
-239.874,-239.874,-0.00599467,-0.00272052,0.0169487
-239.874,-235.843,-0.00588593,-0.0027865,0.017213
-239.874,-231.811,-0.00570721,-0.00287718,0.017713
-239.874,-227.78,-0.00553681,-0.0029653,0.0180726
-239.874,-223.748,-0.00534302,-0.00305667,0.0184766
-239.874,-219.717,-0.00513264,-0.00315036,0.0188772
-239.874,-215.685,-0.00490403,-0.00324647,0.0192789
-239.874,-211.654,-0.0046564,-0.003345,0.0196808
-239.874,-207.622,-0.00438896,-0.00344593,0.0200818
-239.874,-203.591,-0.00410091,-0.00354927,0.0204811
-239.874,-199.559,-0.00379145,-0.00365499,0.0208775
-239.874,-195.528,-0.0034598,-0.00376306,0.0212698
-239.874,-191.496,-0.00310521,-0.00387344,0.0216569
-239.874,-187.465,-0.00272694,-0.00398608,0.0220373
-239.874,-183.433,-0.0023243,-0.00410092,0.0224095
-239.874,-179.402,-0.00189661,-0.00421791,0.0227722
-239.874,-175.37,-0.00144328,-0.00433695,0.0231235
-239.874,-171.339,-0.000963753,-0.00445795,0.0234617
-239.874,-167.307,-0.000457549,-0.00458081,0.023785
-239.874,-163.276,7.57305e-05,-0.0047054,0.0240914
-239.874,-159.244,0.000636395,-0.00483161,0.0243788
-239.874,-155.213,0.00122465,-0.00495928,0.0246451
-239.874,-151.181,0.00184058,-0.00508825,0.0248882
-239.874,-147.15,0.00248415,-0.00521836,0.0251055
-239.874,-143.118,0.00315518,-0.00534941,0.0252948
-239.874,-139.087,0.00385334,-0.0054812,0.0254536
-239.874,-135.055,0.00457811,-0.00561353,0.0255793
-239.874,-131.024,0.00532883,-0.00574616,0.0256694
-239.874,-126.992,0.00610461,-0.00587886,0.0257213
-239.874,-122.961,0.00690438,-0.00601137,0.0257325
-239.874,-118.929,0.00772682,-0.00614343,0.0257002
-239.874,-114.898,0.00857043,-0.00627477,0.025622
-239.874,-110.866,0.00943345,-0.00640511,0.0254954
-239.874,-106.835,0.0103139,-0.00653415,0.0253178
-239.874,-102.803,0.0112095,-0.00666161,0.0250871
-239.874,-98.7717,0.0121177,-0.00678718,0.0248009
-239.874,-94.7402,0.0130359,-0.00691057,0.0244574
-239.874,-90.7087,0.013961,-0.00703146,0.0240545
-239.874,-86.6772,0.0148898,-0.00714955,0.0235909
-239.874,-82.6457,0.0158189,-0.00726455,0.0230649
-239.874,-78.6142,0.0167446,-0.00737616,0.0224757
-239.874,-74.5827,0.017663,-0.00748408,0.0218225
-239.874,-70.5512,0.0185701,-0.00758803,0.0211048
-239.874,-66.5197,0.0194618,-0.00768774,0.0203227
-239.874,-62.4882,0.0203336,-0.00778295,0.0194764
-239.874,-58.4567,0.0211813,-0.0078734,0.0185668
-239.874,-54.4252,0.0220003,-0.00795886,0.0175952
-239.874,-50.3937,0.0227863,-0.00803911,0.0165631
-239.874,-46.3622,0.0235348,-0.00811393,0.0154728
-239.874,-42.3307,0.0242415,-0.00818314,0.0143267
-239.874,-38.2992,0.0249022,-0.00824656,0.013128
-239.874,-34.2677,0.0255128,-0.00830403,0.01188
-239.874,-30.2362,0.0260695,-0.00835541,0.0105868
-239.874,-26.2047,0.0265688,-0.00840057,0.00925262
-239.874,-22.1732,0.0270075,-0.0084394,0.00788214
-239.874,-18.1417,0.0273826,-0.00847182,0.00648038
-239.874,-14.1102,0.0276917,-0.00849773,0.00505267
-239.874,-10.0787,0.0279326,-0.00851709,0.00360456
-239.874,-6.04724,0.0281037,-0.00852984,0.00214181
-239.874,-2.01575,0.0282039,-0.00853596,0.000670351
-239.874,2.01575,0.0282326,-0.00853543,-0.000803842
-239.874,6.04724,0.0281894,-0.00852824,-0.00227474
-239.874,10.0787,0.0280747,-0.00851442,-0.00373635
-239.874,14.1102,0.0278895,-0.00849399,-0.00518277
-239.874,18.1417,0.0276348,-0.008467,-0.00660824
-239.874,22.1732,0.0273126,-0.00843352,-0.00800721
-239.874,26.2047,0.0269251,-0.00839361,-0.00937438
