x,z,alpha,beta0,beta1,beta2,d_alpha_dt,d_beta0_dt,d_beta1_dt,d_beta2_dt
-256,231.811,0.99639,0,0,0,-0,-0,-0,-0
-256,235.843,0.996413,0,0,0,-0,-0,-0,-0
-256,239.874,0.996435,0,0,0,-0,-0,-0,-0
-256,243.906,0.996458,0,0,0,-0,-0,-0,-0
-256,247.937,0.99648,0,0,0,-0,-0,-0,-0
-256,251.969,0.996502,0,0,0,-0,-0,-0,-0
-256,256,0.996502,0,0,0,-0,-0,-0,-0
-251.969,-256,0.992344,0,0,0,-0,-0,-0,-0
-251.969,-251.969,0.992344,0,0,0,-1.58836e-09,-0,-0,-0
-251.969,-247.937,0.992349,0,0,0,-1.31861e-09,-0,-0,-0
-251.969,-243.906,0.992355,0,0,0,-7.02011e-10,-0,-0,-0
-251.969,-239.874,0.992363,0,0,0,-7.87306e-10,-0,-0,-0
-251.969,-235.843,0.992373,0,0,0,-7.84329e-10,-0,-0,-0
-251.969,-231.811,0.992385,0,0,0,-7.80835e-10,-0,-0,-0
-251.969,-227.78,0.992398,0,0,0,-7.76835e-10,-0,-0,-0
-251.969,-223.748,0.992413,0,0,0,-7.72342e-10,-0,-0,-0
-251.969,-219.717,0.992429,0,0,0,-7.67371e-10,-0,-0,-0
-251.969,-215.685,0.992448,0,0,0,-7.61937e-10,-0,-0,-0
-251.969,-211.654,0.992467,0,0,0,-7.56059e-10,-0,-0,-0
-251.969,-207.622,0.992489,0,0,0,-7.49753e-10,-0,-0,-0
-251.969,-203.591,0.992512,0,0,0,-7.4304e-10,-0,-0,-0
-251.969,-199.559,0.992536,0,0,0,-7.35939e-10,-0,-0,-0
-251.969,-195.528,0.992562,0,0,0,-7.28471e-10,-0,-0,-0
-251.969,-191.496,0.992589,0,0,0,-7.20658e-10,-0,-0,-0
-251.969,-187.465,0.992617,0,0,0,-7.12521e-10,-0,-0,-0
-251.969,-183.433,0.992647,0,0,0,-7.04082e-10,-0,-0,-0
-251.969,-179.402,0.992678,0,0,0,-6.95365e-10,-0,-0,-0
-251.969,-175.37,0.99271,0,0,0,-6.86391e-10,-0,-0,-0
-251.969,-171.339,0.992743,0,0,0,-6.77182e-10,-0,-0,-0
-251.969,-167.307,0.992778,0,0,0,-6.67762e-10,-0,-0,-0
-251.969,-163.276,0.992813,0,0,0,-6.58153e-10,-0,-0,-0
-251.969,-159.244,0.992849,0,0,0,-6.48375e-10,-0,-0,-0
-251.969,-155.213,0.992886,0,0,0,-6.38451e-10,-0,-0,-0
-251.969,-151.181,0.992924,0,0,0,-6.28402e-10,-0,-0,-0
-251.969,-147.15,0.992963,0,0,0,-6.18246e-10,-0,-0,-0
-251.969,-143.118,0.993002,0,0,0,-6.08006e-10,-0,-0,-0
-251.969,-139.087,0.993043,0,0,0,-5.97698e-10,-0,-0,-0
-251.969,-135.055,0.993084,0,0,0,-5.87342e-10,-0,-0,-0
-251.969,-131.024,0.993125,0,0,0,-5.76955e-10,-0,-0,-0
-251.969,-126.992,0.993167,0,0,0,-5.66553e-10,-0,-0,-0
-251.969,-122.961,0.99321,0,0,0,-5.56154e-10,-0,-0,-0
-251.969,-118.929,0.993252,0,0,0,-5.4577e-10,-0,-0,-0
-251.969,-114.898,0.993296,0,0,0,-5.35417e-10,-0,-0,-0
-251.969,-110.866,0.99334,0,0,0,-5.25108e-10,-0,-0,-0
-251.969,-106.835,0.993384,0,0,0,-5.14856e-10,-0,-0,-0
-251.969,-102.803,0.993428,0,0,0,-5.04671e-10,-0,-0,-0
-251.969,-98.7717,0.993472,0,0,0,-4.94565e-10,-0,-0,-0
-251.969,-94.7402,0.993517,0,0,0,-4.84548e-10,-0,-0,-0
-251.969,-90.7087,0.993562,0,0,0,-4.74628e-10,-0,-0,-0
-251.969,-86.6772,0.993607,0,0,0,-4.64815e-10,-0,-0,-0
-251.969,-82.6457,0.993652,0,0,0,-4.55115e-10,-0,-0,-0
-251.969,-78.6142,0.993697,0,0,0,-4.45535e-10,-0,-0,-0
-251.969,-74.5827,0.993743,0,0,0,-4.36083e-10,-0,-0,-0
-251.969,-70.5512,0.993788,0,0,0,-4.26762e-10,-0,-0,-0
-251.969,-66.5197,0.993833,0,0,0,-4.17578e-10,-0,-0,-0
-251.969,-62.4882,0.993878,0,0,0,-4.08536e-10,-0,-0,-0
-251.969,-58.4567,0.993923,0,0,0,-3.99638e-10,-0,-0,-0
-251.969,-54.4252,0.993968,0,0,0,-3.90888e-10,-0,-0,-0
-251.969,-50.3937,0.994013,0,0,0,-3.82289e-10,-0,-0,-0
-251.969,-46.3622,0.994058,0,0,0,-3.73842e-10,-0,-0,-0
-251.969,-42.3307,0.994102,0,0,0,-3.6555e-10,-0,-0,-0
-251.969,-38.2992,0.994147,0,0,0,-3.57413e-10,-0,-0,-0
-251.969,-34.2677,0.994191,0,0,0,-3.49432e-10,-0,-0,-0
-251.969,-30.2362,0.994235,0,0,0,-3.41608e-10,-0,-0,-0
-251.969,-26.2047,0.994278,0,0,0,-3.3394e-10,-0,-0,-0
-251.969,-22.1732,0.994322,0,0,0,-3.2643e-10,-0,-0,-0
-251.969,-18.1417,0.994365,0,0,0,-3.19075e-10,-0,-0,-0
-251.969,-14.1102,0.994408,0,0,0,-3.11876e-10,-0,-0,-0
-251.969,-10.0787,0.994451,0,0,0,-3.04831e-10,-0,-0,-0
-251.969,-6.04724,0.994493,0,0,0,-2.97939e-10,-0,-0,-0
-251.969,-2.01575,0.994535,0,0,0,-2.91199e-10,-0,-0,-0
-251.969,2.01575,0.994577,0,0,0,-2.84609e-10,-0,-0,-0
-251.969,6.04724,0.994618,0,0,0,-2.78168e-10,-0,-0,-0
-251.969,10.0787,0.994659,0,0,0,-2.71873e-10,-0,-0,-0
-251.969,14.1102,0.9947,0,0,0,-2.65723e-10,-0,-0,-0
-251.969,18.1417,0.99474,0,0,0,-2.59716e-10,-0,-0,-0
-251.969,22.1732,0.994781,0,0,0,-2.53849e-10,-0,-0,-0
-251.969,26.2047,0.99482,0,0,0,-2.4812e-10,-0,-0,-0
-251.969,30.2362,0.99486,0,0,0,-2.42526e-10,-0,-0,-0
-251.969,34.2677,0.994899,0,0,0,-2.37066e-10,-0,-0,-0
-251.969,38.2992,0.994937,0,0,0,-2.31737e-10,-0,-0,-0
-251.969,42.3307,0.994976,0,0,0,-2.26536e-10,-0,-0,-0
-251.969,46.3622,0.995014,0,0,0,-2.21461e-10,-0,-0,-0
-251.969,50.3937,0.995051,0,0,0,-2.1651e-10,-0,-0,-0
-251.969,54.4252,0.995089,0,0,0,-2.11679e-10,-0,-0,-0
-251.969,58.4567,0.995125,0,0,0,-2.06967e-10,-0,-0,-0
-251.969,62.4882,0.995162,0,0,0,-2.0237e-10,-0,-0,-0
-251.969,66.5197,0.995198,0,0,0,-1.97887e-10,-0,-0,-0
-251.969,70.5512,0.995234,0,0,0,-1.93514e-10,-0,-0,-0
-251.969,74.5827,0.995269,0,0,0,-1.89249e-10,-0,-0,-0
-251.969,78.6142,0.995304,0,0,0,-1.8509e-10,-0,-0,-0
-251.969,82.6457,0.995339,0,0,0,-1.81034e-10,-0,-0,-0
-251.969,86.6772,0.995373,0,0,0,-1.77079e-10,-0,-0,-0
-251.969,90.7087,0.995407,0,0,0,-1.73222e-10,-0,-0,-0
-251.969,94.7402,0.995441,0,0,0,-1.69462e-10,-0,-0,-0
-251.969,98.7717,0.995474,0,0,0,-1.65794e-10,-0,-0,-0
-251.969,102.803,0.995507,0,0,0,-1.62219e-10,-0,-0,-0
