x,z,T_00,T_01,T_02,T_10,T_11,T_12,T_20,T_21,T_22
25,86,0.00977939,0.000152088,-0.00110177,0.000152088,0.00684447,0.00109911,-0.00110177,0.00109911,0.00784556
25,87,0.00879786,0.000153011,-0.00102595,0.000153011,0.00621516,0.000989943,-0.00102595,0.000989943,0.00718503
25,88,0.00788495,0.000151378,-0.000947526,0.000151378,0.0056223,0.000887387,-0.000947526,0.000887387,0.0065529
25,89,0.00704035,0.000147609,-0.000868355,0.000147609,0.00506677,0.000791753,-0.000868355,0.000791753,0.00595166
25,90,0.00626294,0.000142108,-0.000789999,0.000142108,0.00454891,0.000703199,-0.000789999,0.000703199,0.00538323
25,91,0.00555088,0.000135257,-0.000713734,0.000135257,0.00406861,0.000621745,-0.000713734,0.000621745,0.00484898
25,92,0.00490182,0.000127408,-0.000640563,0.000127408,0.00362535,0.000547298,-0.000640563,0.000547298,0.00434972
25,93,0.00431291,0.000118877,-0.000571243,0.000118877,0.00321823,0.000479668,-0.000571243,0.000479668,0.00388576
25,94,0.00378103,0.000109942,-0.000506311,0.000109942,0.0028461,0.000418591,-0.000506311,0.000418591,0.00345698
25,95,0.00330278,0.000100843,-0.00044611,0.000100843,0.00250754,0.000363742,-0.00044611,0.000363742,0.00306285
25,96,0.00287463,9.17817e-05,-0.000390819,9.17817e-05,0.00220093,0.000314755,-0.000390819,0.000314755,0.00270249
25,97,0.00249297,8.2922e-05,-0.000340479,8.2922e-05,0.00192452,0.000271235,-0.000340479,0.000271235,0.00237472
25,98,0.00215422,7.43944e-05,-0.000295019,7.43944e-05,0.00167647,0.000232772,-0.000295019,0.000232772,0.00207813
25,99,0.00185479,6.62977e-05,-0.000254279,6.62977e-05,0.00145486,0.000198949,-0.000254279,0.000198949,0.00181111
25,100,0.00159123,5.87026e-05,-0.000218034,5.87026e-05,0.00125776,0.000169352,-0.000218034,0.000169352,0.00157193
25,101,0.0013602,5.16555e-05,-0.00018601,5.16555e-05,0.00108322,0.000143578,-0.00018601,0.000143578,0.00135874
25,102,0.00115851,4.51818e-05,-0.000157902,4.51818e-05,0.00092934,0.00012124,-0.000157902,0.00012124,0.00116966
25,103,0.000983147,3.92894e-05,-0.000133388,3.92894e-05,0.000794275,0.00010197,-0.000133388,0.00010197,0.00100276
25,104,0.000831301,3.39719e-05,-0.000112139,3.39719e-05,0.000676237,8.54237e-05,-0.000112139,8.54237e-05,0.000856164
25,105,0.000700348,2.92118e-05,-9.38293e-05,2.92118e-05,0.000573529,7.12797e-05,-9.38293e-05,7.12797e-05,0.000728009
25,106,0.000587871,2.49831e-05,-7.8143e-05,2.49831e-05,0.000484548,5.92438e-05,-7.8143e-05,5.92438e-05,0.000616508
25,107,0.00049165,2.12535e-05,-6.47794e-05,2.12535e-05,0.000407791,4.90473e-05,-6.47794e-05,4.90473e-05,0.000519954
25,108,0.00040967,1.7987e-05,-5.34567e-05,1.7987e-05,0.000341867,4.04471e-05,-5.34567e-05,4.04471e-05,0.000436733
25,109,0.000340102,1.5145e-05,-4.39144e-05,1.5145e-05,0.000285489,3.32249e-05,-4.39144e-05,3.32249e-05,0.000365337
25,110,0.000281306,1.26883e-05,-3.59147e-05,1.26883e-05,0.000237483,2.71861e-05,-3.59147e-05,2.71861e-05,0.000304369
25,111,0.000231813,1.05776e-05,-2.92424e-05,1.05776e-05,0.000196781,2.21586e-05,-2.92424e-05,2.21586e-05,0.000252544
25,112,0.000190318,8.77521e-06,-2.37055e-05,8.77521e-06,0.00016242,1.79909e-05,-2.37055e-05,1.79909e-05,0.000208692
25,113,0.00015567,7.24504e-06,-1.91335e-05,7.24504e-06,0.000133537,1.45506e-05,-1.91335e-05,1.45506e-05,0.000171755
25,114,0.000126854,5.95338e-06,-1.53767e-05,5.95338e-06,0.00010936,1.17228e-05,-1.53767e-05,1.17228e-05,0.000140782
25,115,0.000102986,4.86912e-06,-1.23046e-05,4.86912e-06,8.92111e-05,9.40808e-06,-1.23046e-05,9.40808e-06,0.000114927
25,116,8.32957e-05,3.9639e-06,-9.80437e-06,3.9639e-06,7.24894e-05,7.52136e-06,-9.80437e-06,7.52136e-06,9.34409e-05
25,117,6.71168e-05,3.2122e-06,-7.77914e-06,3.2122e-06,5.86713e-05,5.9899e-06,-7.77914e-06,5.9899e-06,7.56646e-05
