x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-159.244,-251.969,4.17497,-1.79842e-06,-0.000196254,-1.58697e-06,4.17496,-0.000257113,-0.000113467,-0.000258331,4.17386
-159.244,-247.937,4.23303,-2.56544e-06,-0.000228594,-2.35259e-06,4.23302,-0.000180008,-0.000256711,-0.000180009,4.23232
-159.244,-243.906,4.29283,-1.01137e-06,0.000236253,-7.96787e-07,4.29282,0.000300043,0.000210414,0.000300042,4.29427
-159.244,-239.874,4.3545,-2.31265e-07,0.000118041,-1.52731e-08,4.35449,9.34664e-05,9.23013e-05,9.34667e-05,4.35489
-159.244,-235.843,4.41794,-4.56075e-07,-1.84697e-05,-2.38725e-07,4.41793,-3.85142e-05,-4.38966e-05,-3.85142e-05,4.41779
-159.244,-231.811,4.48326,-4.58529e-07,2.24007e-05,-2.39905e-07,4.48324,2.46354e-06,-2.74118e-06,2.46354e-06,4.48327
-159.244,-227.78,4.5505,-4.7072e-07,1.95675e-05,-2.50915e-07,4.55049,-2.3431e-07,-5.27045e-06,-2.3431e-07,4.5505
-159.244,-223.748,4.61974,-4.83156e-07,1.94133e-05,-2.62272e-07,4.61972,-2.41894e-07,-5.10482e-06,-2.41894e-07,4.61974
-159.244,-219.717,4.69103,-4.95834e-07,1.92476e-05,-2.73978e-07,4.69102,-2.49463e-07,-4.93472e-06,-2.49462e-07,4.69104
-159.244,-215.685,4.76445,-5.08733e-07,1.907e-05,-2.86021e-07,4.76443,-2.56976e-07,-4.76034e-06,-2.56976e-07,4.76445
-159.244,-211.654,4.84004,-5.2183e-07,1.88802e-05,-2.98382e-07,4.84003,-2.64386e-07,-4.5819e-06,-2.64386e-07,4.84005
-159.244,-207.622,4.91789,-5.35094e-07,1.86779e-05,-3.1104e-07,4.91788,-2.71642e-07,-4.39967e-06,-2.71642e-07,4.91789
-159.244,-203.591,4.99805,-5.48489e-07,1.84628e-05,-3.23968e-07,4.99804,-2.78683e-07,-4.21394e-06,-2.78683e-07,4.99806
-159.244,-199.559,5.0806,-5.61974e-07,1.82346e-05,-3.3713e-07,5.08058,-2.85444e-07,-4.02503e-06,-2.85444e-07,5.0806
-159.244,-195.528,5.16558,-5.75501e-07,1.79932e-05,-3.50486e-07,5.16557,-2.91852e-07,-3.83333e-06,-2.91851e-07,5.16559
-159.244,-191.496,5.25308,-5.89011e-07,1.77382e-05,-3.63986e-07,5.25306,-2.97826e-07,-3.63923e-06,-2.97826e-07,5.25308
-159.244,-187.465,5.34315,-6.02439e-07,1.74695e-05,-3.77572e-07,5.34313,-3.0328e-07,-3.44319e-06,-3.0328e-07,5.34315
-159.244,-183.433,5.43584,-6.15711e-07,1.7187e-05,-3.91177e-07,5.43582,-3.08118e-07,-3.24569e-06,-3.08118e-07,5.43584
-159.244,-179.402,5.53123,-6.2874e-07,1.68904e-05,-4.04723e-07,5.53121,-3.12237e-07,-3.04727e-06,-3.12237e-07,5.53123
-159.244,-175.37,5.62935,-6.41433e-07,1.65798e-05,-4.1812e-07,5.62933,-3.15528e-07,-2.84848e-06,-3.15528e-07,5.62935
-159.244,-171.339,5.73027,-6.53679e-07,1.62551e-05,-4.31268e-07,5.73025,-3.17875e-07,-2.64993e-06,-3.17874e-07,5.73027
